ID,Item,Brand,Category,Price/Unit,Featured,Image,Description
11,Palladium,Heavy Metal Magic,Precious Metals,2842,FALSE,Palladium,"Palladium is a chemical element with the symbol Pd and atomic number 46. It is a rare and lustrous silvery-white metal discovered in 1803 by the English chemist William Hyde Wollaston. He named it after the asteroid Pallas, which was itself named after the epithet of the Greek goddess Athena, acquired by her when she slew Pallas. Palladium, platinum, rhodium, ruthenium, iridium and osmium form a group of elements referred to as the platinum group metals (PGMs). They have similar chemical properties, but palladium has the lowest melting point and is the least dense of them."
12,Rhodium,Heavy Metal Magic,Precious Metals,25100,FALSE,Rhodium,"Rhodium is a chemical element with the symbol Rh and atomic number 45. It is an extraordinarily rare, silvery-white, hard, corrosion-resistant, and chemically inert transition metal. It is a noble metal and a member of the platinum group. It has only one naturally occurring isotope, 103Rh. Naturally occurring rhodium is usually found as a free metal, as an alloy with similar metals, and rarely as a chemical compound in minerals such as bowieite and rhodplumsite. It is one of the rarest and most valuable precious metals."
13,Iridium,Heavy Metal Magic,Precious Metals,6200,FALSE,Iridium,"Iridium is a chemical element with the symbol Ir and atomic number 77. A very hard, brittle, silvery-white transition metal of the platinum group, iridium is considered to be the second-densest metal (after osmium) with a density of 22.56 g/cm3 as defined by experimental X-ray crystallography. However, at room temperature and standard atmospheric pressure, iridium has been calculated to have a density of 22.65 g/cm3, 0.04 g/cm3 higher than osmium measured the same way.[5] Still, the experimental X-ray crystallography value is considered to be the most accurate, and as such iridium is considered to be the second densest element.[6] It is the most corrosion-resistant metal, even at temperatures as high as 2000 °C. Although only certain molten salts and halogens are corrosive to solid iridium, finely divided iridium dust is much more reactive and can be flammable."
14,AMD Radeon RX 6700 XT,AMD,Graphics Cards,950,FALSE,6700XT,"Introducing the AMD Radeon™ RX 6000 Series graphics cards, featuring the breakthrough AMD RDNA™ 2 architecture, engineered to deliver powerhouse performance for all gamers. The AMD Radeon™ RX 6700 Series graphics cards power a new generation of competitive and 4K gaming with vivid visuals, and elevated experiences in every game and every frame."
15,AMD Radeon RX 6800 XT,AMD,Graphics Cards,2000,FALSE,6800XT,"Introducing the AMD Radeon™ RX 6000 Series graphics cards, featuring the breakthrough AMD RDNA™ 2 architecture, engineered to deliver powerhouse performance for all gamers. The AMD Radeon™ RX 6800 Series graphics cards power a new generation of competitive and 4K gaming with vivid visuals, and elevated experiences in every game and every frame."
16,AMD Radeon 6900 XT,AMD,Graphics Cards,2700,FALSE,6900XT,"Introducing the AMD Radeon™ RX 6000 Series graphics cards, featuring the breakthrough AMD RDNA™ 2 architecture, engineered to deliver powerhouse performance for all gamers. The AMD Radeon™ RX 6900 XT Series graphics cards power a new generation of competitive and 4K gaming with vivid visuals, and elevated experiences in every game and every frame."
17,Gigabyte RTX 3060 Ti Eagle,Gigabyte,Graphics Cards,1100,TRUE,3060TiEagle,"Get the ultimate gaming performance with GIGABYTE RTX 3060 Ti Graphics Cards. Powered by NVIDIA's 2nd gen RTX architecture and refined with WINDFORCE cooling technology, the GeForce RTX 3060 Ti GAMING OC 8G brings stunning visuals, amazingly fast frame rates, and AI acceleration to games and creative applications with its enhanced RT Cores and Tensor Cores."
18,Nvidia RTX 3070 Founders Edition,Nvidia,Graphics Cards,1700,FALSE,3070Founders,"The GeForce RTX 3070 is powered by Ampere—NVIDIA’s 2nd gen RTX architecture. Built with enhanced RT Cores and Tensor Cores, new streaming multiprocessors, and high-speed G6 memory, it gives you the power you need to rip through the most demanding games."
19,MSI RTX 3070 Ventus 3x OC,MSI,Graphics Cards,1800,FALSE,3070Ventus,VENTUS brings a performance-focused design that maintains the essentials to accomplish any task at hand. A capable triple fan arrangement laid into a rigid industrial design lets this sharp looking graphics card fit into any build. A lightweight composite Graphene backplate reinforces the length of the graphics card while providing passive thermal conduction properties. Precision-crafted heat pipes ensure max contact to the GPU and spread heat along the full length of the heatsink. TORX Fan 3.0: The award-winning MSI TORX Fan 3.0 design creates high static pressure and pushes the limits of thermal performance. Thermal Padding: An abundance of thermal pads use any chance for additional heat transfer directly from the component
20,Gigabyte  RTX 3070 Gaming OC,Gigabyte,Graphics Cards,1500,FALSE,3070Gaming,"Get the ultimate gaming performance with GIGABYTE RTX 3070 Graphics Cards. Powered by NVIDIA's 2nd gen RTX architecture and refined with WINDFORCE cooling technology, the GIGABYTE GeForce RTX 3070 GAMING OC 8G brings stunning visuals, amazingly fast frame rates, and AI acceleration to games and creative applications with its enhanced RT Cores and Tensor Cores."
21,EVGA RTX 3080 FTW 3,EVGA,Graphics Cards,2000,FALSE,3080FTW,"The EVGA GeForce RTX 3080 delivers the unprecedented performance that gamers crave for 4K resolution gaming, powered by the NVIDIA Ampere architecture. It's built with enhanced RT Cores and Tensor Cores, new streaming multiprocessors, and superfast G6X memory for an amazing gaming experience. Combined with the next generation of design, cooling, and overclocking with EVGA Precision X1, the EVGA GeForce RTX 3080 Series presents a new definition in ultimate performance."
22,Nvidia RTX 3090 Founders Edition,Nvidia,Graphics Cards,2500,TRUE,3090Founders,"The GeForce RTX 3090 is colossally powerful in every way, giving you a whole new tier of performance. It’s powered by Ampere—NVIDIA’s 2nd gen RTX architecture—doubling down on ray tracing and AI performance with enhanced RT Cores, Tensor Cores, and new streaming multiprocessors. Plus, it features a staggering 24 GB of G6X memory, all to deliver the ultimate gaming experience."
23,Cap Bumper Plate 10lb pair,Cap,Exercise Equipment,70,FALSE,Plate10,"Take your weight lifting and power lifting to the next level with these CAP Barbell Olympic Rubber Bumper plates. The durable, rubber design reduces weight room noise and is designed to withstand drops. Perfectly suited for lifting platforms, gyms, and garage floors, these plates can be used for a variety of exercises in functional fitness and cross training. Each size plate is a uniform 17.72 in diameter and rated at a hardness of 85 making for a safer Dead bounce with very little to no bounce when dropped from height. The 50 mm ID stainless steel insert makes adding and taking plate off bars easy while maintaining a snug fit making for a quieter lift."
24,Cap Bumper Plate 25lb pair,Cap,Exercise Equipment,143,FALSE,Plate25,"Take your weight lifting and power lifting to the next level with these CAP Barbell Olympic Rubber Bumper plates. The durable, rubber design reduces weight room noise and is designed to withstand drops. Perfectly suited for lifting platforms, gyms, and garage floors, these plates can be used for a variety of exercises in functional fitness and cross training. Each size plate is a uniform 17.72 in diameter and rated at a hardness of 85 making for a safer Dead bounce with very little to no bounce when dropped from height. The 50 mm ID stainless steel insert makes adding and taking plate off bars easy while maintaining a snug fit making for a quieter lift."
25,Cap Bumper Plate 45lb pair,Cap,Exercise Equipment,45,FALSE,Plate45,"Take your weight lifting and power lifting to the next level with these CAP Barbell Olympic Rubber Bumper plates. The durable, rubber design reduces weight room noise and is designed to withstand drops. Perfectly suited for lifting platforms, gyms, and garage floors, these plates can be used for a variety of exercises in functional fitness and cross training. Each size plate is a uniform 17.72 in diameter and rated at a hardness of 85 making for a safer Dead bounce with very little to no bounce when dropped from height. The 50 mm ID stainless steel insert makes adding and taking plate off bars easy while maintaining a snug fit making for a quieter lift."
26,Spirit Medicine Ball 12lb,Spri,Exercise Equipment,30,TRUE,MedicineBall,"The SPRI Medicine Ball is a unique, multi-use total-body training tool, helping you develop muscular strength, endurance, power, stability, and joint integrity. Designed with a textured surface for enhanced grip, this medicine ball is perfect for lifting, tossing or slamming to work the entire body from arms to core to lower body. Made from high-quality rubber for improved bounce and thick-walled construction to ensure durability and shape retention. Comes in color-coded weights from 8-12lbs. Exercise guide included. Thick wall of Rubber Ensures that it will maintain its shape and provide ultimate durability from basic ab work to the most demanding exercises. Designed with comfort in mind and with a firm-grip design Perfect for the traditional handheld, throwing, bouncing, and light rebounding training practices. Ideal for toning and strength training exercises Great for rows, squat presses, lunge twists and so much more. Lift, toss or bounce To work the entire body from arms to core to lower body"
27,Portable Squat Rack,Rogue,Exercise Equipment,400,FALSE,SquatRack,"The Rogue S-4 2.0 sets a new standard for independent squat stands, combining the strength and stability of two 7-gauge steel H-bases with the efficiency of a new bolt-together, triangle-plate design. Each unit includes a pair of 72"" Infinity uprights with hole spacing in the Westside pattern through the bench zone—so users can specifically set up the included J-cups at 1” increments."
28,Power Rack with Pullup,Inspire,Exercise Equipment,800,FALSE,PowerRack,"Introducing the most versatile cage under 7' that comes with all the attachments! Residential / Light commercial Inspire Fitness Full Cage – 7? with 11 gauge frame. Includes Dip, landmine, Battle Rope Loop, Band Pegs, Pullup Bar"
29,Rogue Bella 2.0 Barbell,Rogue,Exercise Equipment,225,FALSE,RogueBella2.0,"The Bella Bar is Rogue's go-to multipurpose 15KG barbell for female athletes. Fully machined and assembled in Columbus, Ohio, this versatile ladies bar is uniquely optimized for Olympic weightlifting, powerlifting, and/or a CrossFit WOD."
30,Rogue Echo Barbell,Rogue,Exercise Equipment,255,TRUE,RogueEcho,"Machined and assembled at our Columbus manufacturing facility, the newly redesigned Rogue Echo Bar 2.0 is an economically priced 28.5MM bushing bar equipped with many of the same features as our flagship Rogue Ohio Bar."
31,Rogue Loadable Dumbell,Rogue,Exercise Equipment,175,FALSE,RogueLoadable,"Rogue’s Loadable Dumbbells condense the key design and manufacturing elements of our full-size Ohio Bar into a compact, versatile new format. As an alternative to storing a complete set of traditional dumbbells in your gym, the DB-10 and DB-15 Dumbbell offer loadable sleeve lengths of 3.625” and 6.75” respectively—enabling athletes to make precision, custom weight adjustments in their dumbbell training using any standard Olympic plates as the increments."
32,Rogue Ohio Barbell Cerakot,Rogue,Exercise Equipment,340,FALSE,RogueOhio,"Our 29MM Ohio Power Bar is now available in a Cerakote finish, with a range of exclusive colorways to choose from. This unique polymer-ceramic composite coating was originally popularized in the gun industry for its durability in thin applications, and it offers up to 100x the corrosion resistance of standard black zinc."
33,Bird Air Electric Scooter,Bird,Car,500,FALSE,AirElectric,"Explore the neighborhood on this Bird ES4-800 electric scooter. Top speeds of 15.5mph get you where you're going quickly, while electric and mechanical brakes help you stop quickly once you get there. With a maximum weight capacity of 220 lbs., this Bird ES4-800 electric scooter offers a versatile transportation option for ages 18 and up. (Renewed)."
34,Chevy Silverado 2019,Chevrolet,Car,30000,FALSE,Silverado,"Chevy Truck Barely used, 4.3 L engine. 40,0000 miles"
35,Ford F150 2019,Ford,Car,43000,FALSE,F150,"This 2019 Ford F-150 XL in Oxford White features: 4WD, ** 4X4, 20"" Machined-Aluminum Wheels, 3.55 Axle Ratio, Body-Color Front & Rear Bumpers, Body-Color Surround w/Black Mesh Insert Grille, Box Side Decals, Driver/Passenger Seat Back Pocket, Fog Lamps, Integrated Trailer Brake Controller, Manual Driver/Passenger Lumbar, Pro Trailer Backup Assist, Rear Window Defroster, Rear Window Fixed Privacy Glass, STX Appearance Package, SYNC 3, Trailer Tow Package w/101A, Unique Sport Cloth 40/20/40 Front-Seats. 24,000 miles"
36,GMC Sierra 2019,GMC,Car,38000,TRUE,Sierra,"Only 14,579 Miles! Boasts 21 Highway MPG and 16 City MPG! This GMC Sierra 1500 delivers a Gas V6 4.3L engine powering this Automatic transmission. WORK TRUCK PREFERRED EQUIPMENT GROUP includes standard equipment, WHEELS, 17 X 8 (43.2 CM X 20.3 CM) PAINTED STEEL, SILVER (STD), TRANSMISSION, 6-SPEED AUTOMATIC, ELECTRONICALLY CONTROLLED with overdrive and tow/haul mode. Includes Cruise Grade Braking and Powertrain Grade Braking (STD).*This GMC Sierra 1500 Comes Equipped with These Options *TRAILERING PACKAGE includes trailer hitch, 7-pin and 4-pin connectors and (CTT) Hitch Guidance, CONVENIENCE PACKAGE includes (AQQ) Remote Keyless Entry, (QT5) EZ Lift power lock and release tailgate, (AKO) tinted glass, (UF2) LED cargo box lighting, (C49) rear-window defogger, (K34) cruise control and (DLF) outside power mirrors , TRAILER BRAKE CONTROLLER, INTEGRATED, TIRES, 255/70R17 ALL-SEASON, BLACKWALL (STD), TAILGATE, GATE FUNCTION MANUAL WITH EZ LIFT includes power lock and release, includes hitch area light, SEATS, FRONT 40/20/40 SPLIT-BENCH. (STD), REMOTE KEYLESS ENTRY, REAR AXLE, 3.42 RATIO, QUICKSILVER METALLIC, OnStar Equipped (subscription required).* Stop By Today *A short visit to Cronic Chevrolet Buick GMC located at 2676 North Expressway, Griffin, GA 30223 can get you a trustworthy Sierra 1500 today!"
37,Honda Accord 2019,Honda,Car,27000,FALSE,Accord,Only 8000 miles.
38,Honda adv150 Moped,Honda,Car,4300,FALSE,Adv150,"The 2022 Honda ADV150 continues to prove that the adventure category isn’t defined by engine displacement or seat height. It’s about the indomitable spirit, a sense of exploration, and a build quality that will stand the test of time. The ADV150 gets there with a rock-solid 149cc four-stroke OHC engine and rugged steel chassis. The long-travel suspension and spacious under-seat storage promise a comfortable ride for you and your gear. And features like the two-position windscreen, Honda SMART Key, and standard ABS make this one sophisticated scooter. It’s versatility, with a heavy dose of fun, and an opportunity to add some adventure to your every day."
39,Honda Civic 2019,Honda,Car,20000,FALSE,Civic,"27,000 miles"
40,Honda Metropolitan Moped,Honda,Car,2500,FALSE,Metropolitan,"Looking to add a little extra style into your every day? Then look no further than the 2022 Honda Metropolitan. It’s the European-style scooter engineered to embody American practicality. The nifty and thrifty design starts with a reliable four-stroke engine, with a no-shift automatic transmission. Complete with an electric starter and underseat storage to help you on the go. Turn short rides into a metropolis of fun, and save on gas, while you learn all the ways life is better on a Honda."
41,Jeep Grand Cherokee 2019,Jeep,Car,35000,FALSE,GrandCherokee,"17,000 miles. The 2019 Jeep Grand Cherokee is an automotive moment in time: a family hauler that can crawl through a blizzard, blitz a racetrack, tow a boat—or all three."
42,Toyota Corolla 2019,Toyota,Car,19000,FALSE,Corolla,"33,000 miles. Save Big; Original Price was $20,090. Head out in sensible style in our Clean Carfax 2019 Toyota Corolla LE Sedan! Driven by a 1.8 Liter 4 Cylinder that offers 132hp while connected to a seamless CVT with intelligence and shift mode delivers a smooth ride that is comfortable and confident. Our Front Wheel Drive is sleeker and refined, helping it slide through the air with ease and turns heads with its looks while rewarding with near 36mpg on the highway. Check out the bold front fascia with a piano black grille, LED daytime running lights, and Bi-LED headlights!"
